Rating_Num,Stock_Quantity,Actual_Price,Predicted_Price
1,18,35.88,33.16359384920634
1,21,39.13,35.4005843071819
2,3,15.48,35.921928527861034
5,25,57.62,41.09041265151516
2,17,55.55,30.08059635905761
4,17,56.88,39.23094996031748
5,21,31.58,27.54657567460317
2,2,39.67,41.319083214563214
4,8,33.95,27.871617976190493
4,18,50.44,33.99698032384283
1,2,14.4,39.625688650793634
5,18,34.13,47.813503344155826
2,2,27.35,41.319083214563214
3,19,45.51,39.31210994075367
5,16,55.55,27.71949030180605
3,22,40.76,24.101335208680208
3,25,28.85,34.12529358969378
3,15,12.55,22.12933134920634
1,24,56.86,35.99946038128539
5,2,15.38,42.995352460317456
3,9,42.14,36.000627454489965
2,10,20.55,41.345403015873025
1,10,53.47,29.226202731157723
2,4,11.89,24.58569753968254
4,6,18.51,27.59972095238096
3,8,45.22,32.620617810245314
2,10,12.23,41.345403015873025
3,20,28.77,34.67506191253192
2,8,33.26,36.286407537594016
2,8,16.73,36.286407537594016
3,25,45.56,34.12529358969378
2,4,47.72,24.58569753968254
1,13,16.96,40.65024194777443
5,13,52.4,38.788135253080256
1,16,23.32,33.57130584221334
3,12,46.02,35.116898163780675
2,7,23.15,36.6098504993218
3,15,35.61,22.12933134920634
3,7,12.36,29.462462397047403
5,13,56.0,38.788135253080256
3,6,11.1,43.713073571428595
4,8,41.46,27.871617976190493
3,14,10.64,31.35855056637805
4,22,12.34,45.36627874819626
3,22,42.16,24.101335208680208
3,4,39.61,39.286631835109354
4,25,35.43,42.506566666666664
2,9,58.09,38.368009930347434
3,2,25.02,38.84601518426017
1,13,22.11,40.65024194777443
5,11,17.49,27.789979350649347
5,12,39.61,36.01002743145743
5,25,46.96,41.09041265151516
5,2,25.27,42.995352460317456
5,17,17.66,19.53826758658009
3,8,50.83,32.620617810245314
2,11,13.99,19.687805010594
3,10,48.19,35.837228774558774
2,12,44.34,29.786476454844184
1,5,20.93,38.065492701742706
5,2,17.27,42.995352460317456
1,13,26.77,40.65024194777443
2,11,27.41,19.687805010594
4,24,40.2,34.66365538322788
2,20,42.8,33.88304666666668
5,21,36.97,27.54657567460317
4,5,42.78,35.18786071438797
1,15,21.14,43.49192331168832
1,7,45.58,24.784322855200358
5,22,14.08,39.95288808452985
1,9,40.11,31.376305768675767
4,24,15.97,34.66365538322788
5,2,29.85,42.995352460317456
5,12,20.47,36.01002743145743
3,23,43.58,35.04489942772915
2,15,36.52,37.18124655018185
2,25,33.63,25.66092009920635
2,1,10.02,30.413777019647032
3,2,49.67,38.84601518426017
4,15,40.44,32.99076623931623
1,8,37.13,31.084658983516483
5,21,15.42,27.54657567460317
1,4,56.06,31.124153968253967
2,16,35.01,37.42264775821401
1,19,38.73,35.99369621212119
4,11,10.41,36.014783024891784
3,18,38.71,24.05416792124543
3,1,20.9,42.03269043650793
3,8,43.02,32.620617810245314
2,19,19.22,42.16223267066269
3,17,59.9,30.05206408896658
5,23,43.62,33.24017994394494
5,5,41.0,47.29736389610389
1,13,51.74,40.65024194777443
2,19,24.61,42.16223267066269
3,16,14.07,32.75185440476191
4,17,23.89,39.23094996031748
4,17,49.97,39.23094996031748
5,21,38.13,27.54657567460317
5,15,15.36,31.574494090909084
1,17,34.5,37.00854908369409
1,22,25.08,37.44446310096766
2,1,19.6,30.413777019647032
4,18,34.74,33.99698032384283
5,24,51.17,32.22546853174603
2,25,52.94,25.66092009920635
4,1,30.6,32.59407993756243
4,3,59.45,36.68651203823954
1,19,28.48,35.99369621212119
1,24,27.62,35.99946038128539
5,19,47.09,40.89630737919761
4,14,17.44,42.1526705952381
1,8,48.41,31.084658983516483
5,3,29.14,28.072298463203474
4,16,15.06,38.729367579365096
3,25,46.47,34.12529358969378
2,5,46.64,40.44362075813078
3,7,31.85,29.462462397047403
3,11,42.57,36.52278382228884
4,24,52.67,34.66365538322788
2,16,40.67,37.42264775821401
3,8,45.21,32.620617810245314
4,11,10.79,36.014783024891784
3,18,11.75,24.05416792124543
1,21,40.17,35.4005843071819
2,24,36.26,53.00472690143189
1,3,24.12,34.684812140577016
5,24,26.79,32.22546853174603
1,21,26.2,35.4005843071819
1,6,54.86,35.05845775974025
5,8,21.59,42.154659119491626
1,5,55.53,38.065492701742706
4,3,46.01,36.68651203823954
1,20,19.09,37.935594702519694
1,9,30.81,31.376305768675767
3,22,36.74,24.101335208680208
3,1,54.64,42.03269043650793
5,4,32.24,40.98600242424241
2,21,45.07,48.06144033189034
3,13,58.35,35.36734206349206
4,25,57.74,42.506566666666664
1,12,41.56,30.508922463369956
1,24,19.55,35.99946038128539
2,22,14.36,34.04479595848595
5,20,48.56,42.40345606837605
1,12,44.97,30.508922463369956
3,16,13.33,32.75185440476191
1,19,42.72,35.99369621212119
5,11,14.75,27.789979350649347
1,22,47.84,37.44446310096766
3,17,47.02,30.05206408896658
3,7,30.66,29.462462397047403
2,18,54.07,35.53134454906204
1,17,49.51,37.00854908369409
4,24,25.98,34.66365538322788
4,15,38.16,32.99076623931623
4,14,52.35,42.1526705952381
3,16,13.76,32.75185440476191
3,4,50.49,39.286631835109354
3,10,47.67,35.837228774558774
3,22,33.92,24.101335208680208
5,17,42.91,19.53826758658009
5,12,12.16,36.01002743145743
5,13,30.89,38.788135253080256
1,1,44.14,36.47636775841936
4,22,43.19,45.36627874819626
4,20,55.91,34.08944875999002
3,1,25.01,42.03269043650793
4,17,46.82,39.23094996031748
2,17,37.97,30.08059635905761
5,12,36.39,36.01002743145743
5,22,11.64,39.95288808452985
2,20,34.93,33.88304666666668
4,8,57.7,27.871617976190493
5,25,55.65,41.09041265151516
4,5,41.67,35.18786071438797
1,14,15.4,15.061582466422456
5,25,44.05,41.09041265151516
1,13,19.21,40.65024194777443
5,17,38.89,19.53826758658009
5,24,50.54,32.22546853174603
4,5,42.15,35.18786071438797
2,17,32.87,30.08059635905761
5,5,14.44,47.29736389610389
3,17,24.7,30.05206408896658
4,15,22.06,32.99076623931623
3,5,24.48,32.26555639180265
1,19,18.77,35.99369621212119
3,1,29.64,42.03269043650793
5,7,26.66,34.355805198412696
2,13,44.18,27.073535486241077
1,2,45.11,39.625688650793634
5,1,49.32,33.963704378685044
5,20,44.48,42.40345606837605
2,21,40.79,48.06144033189034
2,4,19.83,24.58569753968254
4,25,44.18,42.506566666666664
5,2,11.83,42.995352460317456
5,18,11.89,47.813503344155826
1,19,28.03,35.99369621212119
